,y_true,y_prob,y_raw
105,1,0.95517045,3.0590231
106,1,0.9464115,2.8713431
107,0,0.02762567,-3.5609953
108,1,0.95881194,3.1475463
109,1,0.90177864,2.2171447
110,1,0.96662617,3.36604
111,1,0.70615995,0.8768059
112,0,0.028463522,-3.5302556
113,1,0.97247297,3.5646746
114,1,0.97061306,3.4973774
115,0,0.026095426,-3.6195533
116,1,0.9378966,2.7148385
117,0,0.029979149,-3.4768155
118,0,0.8727019,1.9250627
119,1,0.94957733,2.9355752
120,0,0.29946622,-0.84984094
121,1,0.9746063,3.6475327
122,1,0.95569575,3.0713603
123,0,0.02215873,-3.7871158
124,0,0.02446641,-3.6856835
125,0,0.4192576,-0.3258216
126,1,0.9663403,3.3572142
127,1,0.952568,2.9998636
128,1,0.91117126,2.3280208
129,0,0.38678798,-0.46083418
130,1,0.9625169,3.2456625
131,1,0.9714542,3.5272834
132,0,0.01917085,-3.9350073
133,1,0.9603276,3.186619
134,1,0.9336734,2.6445348
135,1,0.93254596,2.6264718
136,1,0.95174205,2.981735
137,1,0.9815869,3.976104
138,0,0.2180659,-1.2769731
139,1,0.9454342,2.852238
140,1,0.9514899,2.9762561
141,1,0.9902361,4.619256
142,1,0.92563033,2.521426
143,1,0.9220827,2.4709876
144,1,0.97399265,3.6230233
145,0,0.41660345,-0.33673236
146,0,0.6387939,0.5701331
147,0,0.024228308,-3.6957068
148,0,0.0636194,-2.6891036
149,0,0.3105005,-0.7977805
150,1,0.94240916,2.7950752
151,1,0.97613144,3.7110355
152,1,0.9259903,2.5266674
153,0,0.9457536,2.858445
154,0,0.03757335,-3.2431629
155,1,0.9317688,2.6141827
156,1,0.8935103,2.1271098
157,1,0.9752133,3.6723459
158,0,0.5900046,0.3639844
159,1,0.97761077,3.7765281
160,1,0.96645975,3.3608935
161,0,0.030584997,-3.4561832
162,1,0.97335714,3.5982282
163,1,0.9359628,2.6821115
164,0,0.45956203,-0.16210589
165,0,0.17086878,-1.5794826
166,0,0.018413486,-3.9760869
167,1,0.9496398,2.9368808
168,1,0.9680484,3.41106
169,1,0.9649765,3.3160846
170,1,0.90114176,2.2099755
